Year	ALP_Primary	LIB_Primary	OTH_Primary	ALP_TPP	LIB_TPP	ALP_Seats	LIB_Seats	OTH_Seats	Total_Seats
1919	42.5	54.3	3.2	45.9	54.1	25	38	2	75
1922	42.3	47.8	9.9	48.8	51.2	29	40	6	75
1925	45	53.2	1.8	46.2	53.8	23	50	2	75
1928	44.6	49.6	5.8	48.4	51.6	31	42	2	75
1929	48.8	44.2	7	56.7	43.3	46	24	5	75
1931	27.1	48.4	24.5	41.5	58.5	14	50	11	75
1934	26.8	45.6	27.6	46.5	53.5	18	42	14	74
1937	43.2	49.3	7.5	49.4	50.6	29	43	2	74
1940	40.2	43.9	15.9	50.3	49.7	32	36	6	74
1943	49.9	23	27.1	58.2	41.8	49	19	6	74
1946	49.7	39.3	11	54.1	45.9	43	26	5	74
1949	46	50.3	3.7	49	51	47	74	0	121
1951	47.6	50.3	2.1	49.3	50.7	52	69	0	121
1954	50	46.8	3.2	50.7	49.3	57	64	0	121
1955	44.6	47.6	7.8	45.8	54.2	47	75	0	122
1958	42.8	46.6	10.6	45.9	54.1	45	77	0	122
1961	47.9	42.1	10	50.5	49.5	60	62	0	122
1963	45.5	46	8.5	47.4	52.6	50	72	0	122
1966	40	50	10	43.1	56.9	41	82	1	124
1969	47	43.3	9.7	50.2	49.8	59	66	0	125
1972	49.6	41.5	8.9	52.7	47.3	67	58	0	125
1974	49.3	44.9	5.8	51.7	48.3	66	61	0	127
1975	42.8	53.1	4.1	44.3	55.7	36	91	0	127
1977	39.7	48.1	12.2	45.4	54.6	38	86	0	124
1980	45.2	46.3	8.5	49.6	50.4	51	74	0	125
1983	49.5	43.6	6.9	53.2	46.8	75	50	0	125
1984	47.6	45	7.4	51.8	48.2	82	66	0	148
1987	45.8	46.1	8.1	50.8	49.2	86	62	0	148
1990	39.4	43.5	17.1	49.9	50.1	78	69	1	148
1993	44.9	44.3	10.7	51.4	48.6	80	65	2	147
1996	38.7	47.3	14	46.4	53.6	49	94	5	148
1998	40.1	39.5	20.4	51	49	67	80	1	148
2001	37.8	43	19.2	49	51	65	82	3	150
2004	37.6	46.7	15.7	47.3	52.7	60	87	3	150
2007	43.4	42.1	14.5	52.7	47.3	83	65	2	150
2010	38	43.3	18.7	50.1	49.9	72	72	6	150
2013	33.4	45.6	21	46.5	53.5	55	90	5	150
2016	34.7	42	23.3	49.6	50.4	69	76	5	150
